error=implicit-int 4
incompatible-pointer-types 95
implicit-function-declaration 163
int-conversion 535
unused-label 735
overflow 873
error=implicit-function-declaration 946
return-type 995
deprecated-declarations 1015
int-to-pointer-cast 1211
array-bounds 1353
frame-larger-than= 1951
pointer-to-int-cast 2229
discarded-array-qualifiers 2399
makeMsg 2450
uninitialized 3031
switch-bool 3159
cpp 3410
unused-variable 3847
logical-not-parentheses 4410
maybe-uninitialized 6489
unused-function 7924
