524	openrisc
588	nios2
632	hexagon
640	score
644	c6x
820	unicore32
972	arc
1148	um
1192	microblaze
1216	metag
1312	avr32
1324	frv
1404	m32r
1424	xtensa
1748	mn10300
2272	arm64
2316	parisc
2436	alpha
2776	tile
3140	s390
4024	ia64
4788	sparc
4800	cris
5092	sh
6020	blackfin
6440	m68k
12204	x86
14996	mips
15676	powerpc
31212	arm
